HCHO_Reading,Next_Date,New_Location,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
0.00019698343957810148,2019-01-02,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-01,0,81,89.0,74
0.00026255221719685945,2019-01-02,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-01,0,61,71.0,49
0.00026255221719685945,2019-01-03,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-02,0,78,87.0,74
5.803530712000793e-06,2019-01-03,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-02,0,59,87.0,49
9.852118897938794e-05,2019-01-04,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-03,0,81,90.0,74
0.00019082938869567843,2019-01-04,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-03,0,59,71.0,49
0.0002099320518114242,2019-01-05,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-04,0,81,91.0,72
5.0976259171277377e-05,2019-01-05,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-04,0,59,72.0,47
0.00017853372988929305,2019-01-06,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-05,0,81,90.0,74
6.456645496655256e-05,2019-01-06,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-05,0,55,68.0,74
0.00010822967002356709,2019-01-07,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-06,0,81,88.0,73
8.982348709518115e-05,2019-01-07,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-06,0,59,71.0,37
0.00039268292804773094,2019-01-08,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-07,0,81,87.0,73
4.097797651418246e-05,2019-01-08,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-07,0,59,70.0,46
9.153156350685351e-05,2019-01-09,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-08,0,82,90.0,74
2.298263979970634e-05,2019-01-09,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-08,0,59,69.0,45
0.00012059789928530154,2019-01-10,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-09,0,83,92.0,75
0.00012977235629832586,2019-01-10,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-09,0,61,70.0,50
0.00012977235629832586,2019-01-11,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-10,0,82,88.0,75
7.190247186715247e-05,2019-01-11,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-10,0,61,68.0,52
0.00022391881668012785,2019-01-12,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-11,0,82,89.0,77
3.914670787137749e-05,2019-01-12,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-11,0,62,70.0,53
0.00015694180941787597,2019-01-13,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-12,0,82,90.0,76
0.0001406986305217021,2019-01-13,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-12,0,59,66.0,54
0.0001406986305217021,2019-01-14,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-13,0,82,88.0,76
0.00013362919068626037,2019-01-14,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-13,0,61,66.0,56
0.00013362919068626037,2019-01-15,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-14,0,82,89.0,75
4.211950727039948e-05,2019-01-15,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-14,2,60,67.0,57
6.374417842690063e-05,2019-01-16,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-15,0,81,87.0,75
4.27055256923008e-05,2019-01-16,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-15,0,60,89.0,55
0.00011810622508150202,2019-01-17,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-16,0,82,92.0,76
3.5053075407631695e-05,2019-01-17,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-16,0,57,64.0,76
0.00024725552224230375,2019-01-18,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-17,0,79,89.0,74
0.00010771554809122464,2019-01-18,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-17,0,52,83.0,74
3.667525352047757e-05,2019-01-19,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-18,0,79,88.0,74
2.1021983917616697e-05,2019-01-19,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-18,0,56,71.0,42
0.0004057500868150313,2019-01-20,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-19,0,78,85.0,72
3.5177822608346057e-05,2019-01-20,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-19,0,53,70.0,41
0.00016878562164797227,2019-01-21,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-20,0,79,85.0,72
8.95718212363389e-06,2019-01-21,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-20,0,54,90.0,40
0.00038815493287396724,2019-01-22,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-21,0,80,88.0,73
0.00011696235570849296,2019-01-22,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-21,0,56,71.0,44
0.0003282922940445869,2019-01-23,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-22,0,80,88.0,73
0.0001423180803672958,2019-01-23,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-22,0,57,71.0,42
0.00021477981446919994,2019-01-24,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-23,0,80,87.0,72
5.387086215710865e-05,2019-01-24,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-23,0,57,72.0,45
0.0002347245196410463,2019-01-25,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-24,0,82,90.0,76
5.8914353326833725e-05,2019-01-25,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-24,0,56,69.0,44
0.0002820915300341781,2019-01-26,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-25,0,83,88.0,78
0.00025072634930884313,2019-01-26,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-25,0,59,71.0,45
0.00025072634930884313,2019-01-27,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-26,0,83,89.0,77
0.00019732884353144639,2019-01-27,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-26,0,60,68.0,48
0.00019732884353144639,2019-01-28,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-27,0,82,87.0,76
0.0003344381531667087,2019-01-28,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-27,0,60,69.0,76
0.0002555121674807678,2019-01-29,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-28,0,80,87.0,75
0.00015090177723746967,2019-01-29,"NUWARA ELIYA, CE",CE000434730,6.967,80.767,1880.0,2019-01-28,0,56,69.0,47
0.00015090177723746967,2019-01-30,"COLOMBO, CE",CEM00043466,6.9,79.867,7.0,2019-01-29,0,81,90.0,73
