HCHO Reading,Location,Current Date,Next Date
8.829725542537962e-05,"Bibile, Monaragala",2019-01-01,2019-01-02
8.829725542537962e-05,Kurunegala Proper,2019-01-01,2019-01-02
5.830909719406619e-05,Jaffna Proper,2019-01-01,2019-01-02
1.919914652467399e-05,"Bibile, Monaragala",2019-01-02,2019-01-03
0.00013707874027782185,Kurunegala Proper,2019-01-02,2019-01-03
0.00010179527955362371,Jaffna Proper,2019-01-02,2019-01-03
2.8114479359302837e-05,"Bibile, Monaragala",2019-01-03,2019-01-04
0.0001480085027113037,Kurunegala Proper,2019-01-03,2019-01-04
3.93133105404262e-05,Jaffna Proper,2019-01-03,2019-01-04
3.747998184385943e-05,"Bibile, Monaragala",2019-01-04,2019-01-05
0.00012595021133679916,Kurunegala Proper,2019-01-04,2019-01-05
0.00012595021133679916,Jaffna Proper,2019-01-04,2019-01-05
0.00012595021133679916,"Bibile, Monaragala",2019-01-05,2019-01-06
0.0002489134742856164,Kurunegala Proper,2019-01-05,2019-01-06
0.00015891373022938158,Jaffna Proper,2019-01-05,2019-01-06
0.00014578368961799026,"Bibile, Monaragala",2019-01-06,2019-01-07
0.00010155833001770782,Kurunegala Proper,2019-01-06,2019-01-07
7.539679629744287e-05,Jaffna Proper,2019-01-06,2019-01-07
2.8285908025465342e-05,"Bibile, Monaragala",2019-01-07,2019-01-08
0.00019190566681902724,Kurunegala Proper,2019-01-07,2019-01-08
0.00017992377349555772,Jaffna Proper,2019-01-07,2019-01-08
0.00017992377349555772,"Bibile, Monaragala",2019-01-08,2019-01-09
0.00012155004561388685,Kurunegala Proper,2019-01-08,2019-01-09
9.470708011674723e-05,Jaffna Proper,2019-01-08,2019-01-09
0.00014208501670509577,"Bibile, Monaragala",2019-01-09,2019-01-10
9.741700467262773e-05,Kurunegala Proper,2019-01-09,2019-01-10
0.00012595021133679916,Jaffna Proper,2019-01-09,2019-01-10
0.00012595021133679916,"Bibile, Monaragala",2019-01-10,2019-01-11
0.00011303426280120108,Kurunegala Proper,2019-01-10,2019-01-11
0.00013189678075018418,Jaffna Proper,2019-01-10,2019-01-11
2.014587947072581e-05,"Bibile, Monaragala",2019-01-11,2019-01-12
7.047632943988818e-05,Kurunegala Proper,2019-01-11,2019-01-12
0.00013370163724020647,Jaffna Proper,2019-01-11,2019-01-12
0.00015827876632101837,"Bibile, Monaragala",2019-01-12,2019-01-13
0.0001691712548577679,Kurunegala Proper,2019-01-12,2019-01-13
5.9570030841276426e-05,Jaffna Proper,2019-01-12,2019-01-13
5.9570030841276426e-05,"Bibile, Monaragala",2019-01-13,2019-01-14
0.00012595021133679916,Kurunegala Proper,2019-01-13,2019-01-14
0.00012595021133679916,Jaffna Proper,2019-01-13,2019-01-14
0.00012595021133679916,"Bibile, Monaragala",2019-01-14,2019-01-15
2.010835129084908e-05,Kurunegala Proper,2019-01-14,2019-01-15
2.010835129084908e-05,Jaffna Proper,2019-01-14,2019-01-15
9.952823849642218e-05,"Bibile, Monaragala",2019-01-15,2019-01-16
8.792493954777681e-05,Kurunegala Proper,2019-01-15,2019-01-16
3.94847944175773e-05,Jaffna Proper,2019-01-15,2019-01-16
7.484570960514249e-05,"Bibile, Monaragala",2019-01-16,2019-01-17
6.834336052834083e-05,Kurunegala Proper,2019-01-16,2019-01-17
6.686277882732807e-05,Jaffna Proper,2019-01-16,2019-01-17
7.736112226328797e-05,"Bibile, Monaragala",2019-01-17,2019-01-18
0.00013806247978490952,Kurunegala Proper,2019-01-17,2019-01-18
5.1818445254300394e-05,Jaffna Proper,2019-01-17,2019-01-18
5.1818445254300394e-05,"Bibile, Monaragala",2019-01-18,2019-01-19
0.00017382233094526332,Kurunegala Proper,2019-01-18,2019-01-19
9.154995885051223e-05,Jaffna Proper,2019-01-18,2019-01-19
3.9881410104076654e-05,"Bibile, Monaragala",2019-01-19,2019-01-20
