STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-01,0,79,82.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-01,0,81,89.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-01,0,61,71.0,49
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-01,0,78,87.0,49
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-02,0,78,87.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-02,0,78,87.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-02,0,78,87.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-02,0,59,87.0,49
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-02,0,74,87.0,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-03,0,81,87.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-03,0,79,83.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-03,0,81,90.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-03,0,59,71.0,49
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-03,0,76,86.0,49
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-04,0,83,88.0,69
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-04,0,79,83.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-04,0,81,91.0,72
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-04,0,59,72.0,47
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-04,0,76,87.0,65
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-05,0,84,90.0,65
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-05,0,79,83.0,65
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-05,0,81,90.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-05,0,55,68.0,74
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-05,0,77,87.0,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-06,0,82,88.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-06,0,80,83.0,75
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-06,0,81,88.0,73
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-06,0,59,71.0,37
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-06,0,77,87.0,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-07,0,80,89.0,68
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-07,0,79,83.0,72
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-07,0,81,87.0,73
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-07,0,59,70.0,46
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-07,0,77,86.0,68
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-08,0,82,90.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-08,0,79,83.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-08,0,82,90.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-08,0,59,69.0,45
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-08,0,78,87.0,45
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-09,0,83,89.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-09,0,79,83.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-09,0,83,92.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-09,0,61,70.0,50
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-09,0,78,88.0,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-10,0,81,88.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-10,0,79,83.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-10,0,82,88.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-10,0,61,68.0,52
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-10,0,78,88.0,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-11,0,85,90.0,73
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-11,0,80,83.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-11,0,82,89.0,77
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-11,0,62,70.0,53
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-11,0,78,87.0,53
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-12,0,84,90.0,74
